Image_ID,en_caption
figure03-06E,"Fluorescence angiography of the fundus of both eyes. The retinal vasculature was seen to be normal, with strong translucent fluorescence in the paravalvular atrophic areas, and the pigmented areas were shown to be obscured by fluorescence, with no fluorescence leakage seen in the late stages of the disease"
figure03-06F,"Fluorescence angiography of the fundus of both eyes. The retinal vasculature was seen to be normal, with strong translucent fluorescence in the paravalvular atrophic areas, and the pigmented areas were shown to be obscured by fluorescence, with no fluorescence leakage seen in the late stages of the disease"
figure03-07C,"Late FFA image of the right eye, with fluorescence seen translucent around the macular area, with the same patient as Figure 3-7B ．"
figure03-07D,"FFA image of the left eye in the arterial and venous phases, with no fluorescence leakage around the macular area, in the same patient as Figures 3-7C"
figure03-09C,"Blue fundus autofluorescence and near-infrared fundus autofluorescence images of the right eye, showing bull's-eye-like pigment abnormalities in the macula, in the same patient as in Figures 3-9A and B"
figure03-09D,"Blue fundus autofluorescence and near-infrared fundus autofluorescence images of the right eye, showing bull's-eye-like pigment abnormalities in the macula, in the same patient as in Figures 3-9A and B"
figure03-09E,"Blue fundus autofluorescence and near-infrared fundus autofluorescence images of the left eye, showing bull's-eye-like pigment abnormalities in the macula, in the same patient as Figures 3-9C and D"
figure03-09F,"Blue fundus autofluorescence and near-infrared fundus autofluorescence images of the left eye, showing bull's-eye-like pigment abnormalities in the macula, in the same patient as Figures 3-9C and D"
figure03-10C,"Blue fundus autofluorescence images in both eyes, autofluorescence-enhanced spots suggesting localized RPE metabolic dysfunction and lipofuscin accumulation; autofluorescence-attenuated spots suggesting RPE atrophy, same patient as Fig. 3-10A, B"
figure03-10D,"Blue fundus autofluorescence images in both eyes, autofluorescence-enhanced spots suggesting localized RPE metabolic dysfunction and lipofuscin accumulation; autofluorescence-attenuated spots suggesting RPE atrophy, same patient as Fig. 3-10A, B"
figure03-10E,"Synchronized FFA and ICGA contrast of the right eye at 1 minute, 19 seconds, and 15 images shows speckled translucent fluorescence, the same patient as in Figures 3-10C and D"
figure03-10F,"Synchronized FFA and ICGA contrast of the right eye at 1 minute, 19 seconds, and 15 images shows speckled translucent fluorescence, the same patient as in Figures 3-10C and D"
figure03-10G,"Synchronized FFA and ICGA contrast of the left eye at 9 min 34 sec 68 image shows speckled translucent fluorescence in FFA and speckled weak fluorescence in ICGA, same patient as Figure 3-lOE, F"
figure03-10H,"Synchronized FFA and ICGA contrast of the left eye at 9 min 34 sec 68 image shows speckled translucent fluorescence in FFA and speckled weak fluorescence in ICGA, same patient as Figure 3-lOE, F"
figure03-10I,"Synchronized FFA and ICGA contrast of the right eye at 25 min 46 sec 65 image shows speckled translucent fluorescence in the FFA and speckled weak fluorescence in the ICGA, with Fig. 3-lOG, H, for the same patient"
figure03-10J,"Synchronized FFA and ICGA contrast of the right eye at 25 min 46 sec 65 image shows speckled translucent fluorescence in the FFA and speckled weak fluorescence in the ICGA, with Fig. 3-lOG, H, for the same patient"
figure03-11C,"Late FFA image of Stargardt's disease in the right eye. Same patient as Figure 3-11B. The area of retinal pigment epithelial atrophy can be seen as a choroidal capillary atrophy filling defect surrounded by a halo of strong translucent fluorescence, and the yellow mortar-colored speckles show translucent fluorescence"
figure03-11D,"Late FFA image of Stargardt's disease in the left eye. Same patient as Figure 3-11C. The area of retinal pigment epithelial atrophy can be seen as a choroidal capillary atrophy filling defect surrounded by a halo of strong translucent fluorescence, and the yellow mortar-colored speckles show translucent fluorescence"
figure03-12C,"Late FFA image of Stargardt's disease in the right eye. Same patient as Figure 3-12B. Areas of retinal pigment epithelial atrophy can be seen as window-like defects, with yellowish-white spots of translucent fluorescence"
figure03-12D,"Late FFA image of Stargardt's disease in the left eye. Same patient as Figure 3-12C. Areas of retinal pigment epithelial atrophy can be seen as window-like defects, with yellowish-white spots of translucent fluorescence"
figure03-12E,"Late FFA image of Stargardt's disease in the right eye. Same patient as Figure 3-12D. The background fluorescence of the choroidal background of the fundus around the white dot can be seen to be absent, with a dark choroid (choroidal obliteration)"
figure03-12F,Late FFA image of Stargardt's disease in the right eye. Same patient as Figure 3-12E. Showing the choroidal obliteration sign in the lower fundus
figure03-13C,"Fundus autofluorescence image of Stargardt's disease blue light in the right eye. Same patient as Figure 3-13B. Significantly diminished autofluorescence can be seen in the retinal pigment epithelial atrophy area, and patches of weak autofluorescence due to speckled retinal pigment epithelial atrophy can be seen elsewhere, but fundus autofluorescence around the optic disc is essentially normal (a typical feature of Stargardt's disease)"
figure03-13D,"Autofluorescence image of the blue fundus of the left eye with Stargardt's disease. Same patient as Figure 3-13C. Significantly diminished autofluorescence can be seen in the area of retinal pigment epithelial atrophy, and patches of weak autofluorescence due to speckled retinal pigment epithelial atrophy can be seen elsewhere, but fundus autofluorescence around the optic disc is essentially normal (a typical feature of Stargardt's disease)"
figure03-14C,"Fundus autofluorescence image of Stargardt's disease blue light in the right eye. Same patient as Figure 3-14B. Significantly diminished autofluorescence is seen in areas of retinal pigment epithelial atrophy, with extensive patchy weak autofluorescence elsewhere"
figure03-14D,"Autofluorescence image of the blue fundus of the left eye with Stargardt's disease. Same patient as Figure 3-14C. Significantly diminished autofluorescence is seen in areas of retinal pigment epithelial atrophy, with extensive patchy weak autofluorescence elsewhere"
figure03-14E,"Late FFA image of Stargardt's disease in the right eye. Same patient as Figure 3-14D. Areas of retinal pigment epithelial atrophy can be seen as window-like defects, pigment proliferation is fluorescently obscured, and yellow-white spots are translucently fluorescent"
figure03-14F,"Late FFA image of Stargardt's disease in the left eye. Same patient as Figure 3-14E. Areas of retinal pigment epithelial atrophy can be seen as window-like defects, pigment proliferation is fluorescently obscured, and yellow-white spots are translucently fluorescent"
figure03-16C,Late FFA image of Best's disease in the right eye. With Figure 3-16B for one patient. The macular lesion is seen to be strongly fluorescent
figure03-16D,Late FFA image of Best's disease in the left eye. Same patient as Figure 3-16C. The macular lesion is seen to be strongly fluorescent
figure03-17C,Blue light fundus autofluorescence image of vascular-like streaks in the right eye. Same patient as Figure 3-17B. The angioid streak lesion can be clearly visualized as a distinct weak autofluorescence
figure03-17D,"Blue light fundus autofluorescence image of vascular-like streaks in the left eye. Same patient as Figure 3-17C. The angioid streaks show typical weak autofluorescence, but one of the streaks spans the macula and shows a slight autofluorescence enhancement in the macula, suggesting the onset of dysfunction of the retinal pigment epithelium in these areas"
figure03-18C,Same patient as Figures 3-18A and B. FFA359.2s image of the angioid streak in the fundus of the right eye and FFA374.2s image of the fundus of the left eye. Fluorescent staining of serrated streaks radiating around the optic papilla can be seen
figure03-18D,Same patient as Figures 3-18A and B. FFA359.2s image of the angioid streak in the fundus of the right eye and FFA374.2s image of the fundus of the left eye. Fluorescent staining of serrated streaks radiating around the optic papilla can be seen
figure03-19B,"Blue light fundus autofluorescence image of choroidal atrophy adjacent to the parapapillary choroid in the left eye. The autofluorescence of the choroidal atrophy area is markedly diminished and surrounded by a strong autofluorescence halo, and the autofluorescence of the choroidal vessels and the porcelain-white sclera in the atrophic area is slightly enhanced."
figure03-20C,"Late FFA image of right eye without choroidopathy. Same patient as Figure 3-20B. Diffuse choroidal atrophy is seen, with large vessels exposed and only a very small solitary island of choroidal atrophy remaining in the macular area is less severe"
figure03-20D,"Late FFA image of the left eye without choroidopathy. Same patient as Figure 3-20C above. Diffuse choroidal atrophy is seen, large vessels are exposed, and only a very small solitary island of choroidal atrophy remains in the macular area with mild"
figure03-22C,Primary choroidal atrophy of the right eye FFA and ICGA simultaneous contrast 31 sec 43 image. The same patient as Figure 3-22B. FFA shows translucent fluorescence in the atrophic area of the RPE and a choroidal filling defect in the area of marked choroidal vascular atrophy. icga shows a choroidal vascular atrophy filling defect.
figure03-22D,Primary choroidal atrophy of the right eye FFA and ICGA simultaneous contrast 31 sec 43 image. The same patient as Figure 3-22B. FFA shows translucent fluorescence in the atrophic area of the RPE and a choroidal filling defect in the area of marked choroidal vascular atrophy. icga shows a choroidal vascular atrophy filling defect.
figure03-22E,"Synchronized FFA and ICGA imaging of primary choroidal atrophy in the right eye at 4 minutes, 55 seconds, and 62 images. Same patient as Figures 3-22C and D. Visible RPE layer, choroidal vascular atrophy"
figure03-22F,"Synchronized FFA and ICGA imaging of primary choroidal atrophy in the right eye at 4 minutes, 55 seconds, and 62 images. Same patient as Figures 3-22C and D. Visible RPE layer, choroidal vascular atrophy"
figure03-23C,FFA image of primary band choroidal atrophy in the right eye. Same patient as Figure 3-23B. Choroidal atrophy at the infratemporal vascular arch and exposed large vessels are seen
figure03-23D,FFA image of primary band choroidal atrophy in the left eye. Same patient as Figure 3-23C. Choroidal atrophy at the infratemporal vascular arch and exposed large vessels are seen
figure04-01C,Figure 4-1A patient's FFA 22 sec 6 image showing unfilled small vessels in the macular area during the arteriovenous phase
figure04-01D,"Figure 4-1A Patient's FFA 12 minutes, 42 seconds, and 9 seconds image, which shows that the small blood vessels in the macular area were never filled late in the imaging process"
figure04-04B,"FFA 26.7s image of branch retinal artery obstruction in the left eye. In the same patient as Figure 4-4A, the lower retinal arteries are seen to be impaired in filling and the corresponding venous return is delayed"
figure04-05B,Figure 4-5A Patient FFA 25.6s image. The infratemporal branch artery is seen to be unfilled
figure04-05D,Figure 4-5C FFA 25.5s image of patient after 1 month of treatment. Patency of the inferior temporal branch artery is seen
figure04-05G,"Figure 4-5F Patient 8 years after FFA 17 min 06 sec 92 image. Temporal peripheral fluorescein leakage can be seen, with occlusion and dilatation of retinal capillaries"
figure04-05H,Figure 4-5G Patient 8 years after FFA 18 min 55 sec 17 image. Staining of the ductal wall of the superior temporal retinal vein is visible
figure04-06E,FFA 27 sec 84 image of the right eye more than 1 month after stent implantation. Multiple retinal arteriolar obstructions are seen inferiorly temporal and inferiorly nasal with no fluorescent filling
figure04-06F,FFA 48 sec 95 image of the right eye more than 1 month after stent implantation. Multiple retinal arteries above the nose are seen to be obstructed without perfusion and no fluorescein filling
figure04-06G,FFA 1 minute 06 seconds 87 image of the right eye more than 1 month after stent implantation. Multiple retinal artery obstructions on the temporal side are seen with no fluorescent filling
figure04-06H,"FFA 1 minute 25 seconds 01 image of the right eye more than 1 month after stent implantation. Obstruction of the inferotemporal retinal artery with non-fluorescence filling, retarded retinal vein reflux, and localized fluorescein leakage were seen"
figure04-07B,"Right eye ophthalmic artery obstruction FFA 3 min 58 sec image. In the same patient as Figures 4-7A, both the choroidal and retinal circulations are seen to be filled and impaired"
figure04-10B,"Right eye central retinal vein obstruction FFA 15 min 38 sec 3 image. Visible vein dilatation, wall staining, and fluorescent leakage from the optic papilla"
figure04-10D,"Figure 4-1 FFA 17 min 26 sec 2 image of the left eye of patient OC. Tissue staining can be seen at the absorbent cotton spot, and a small number of microvascular tumors are seen spotting strong fluorescence in the macular region"
figure04-13C,Fundus autofluorescence image of central retinal vein obstruction in the right eye. Same patient as Figure 4-13B. Weak autofluorescence is seen in the macula and strong autofluorescence in the photocoagulation spot
figure04-13D,Fundus autofluorescence image of central retinal vein obstruction in the left eye. Same patient as Figure 4-13C. Enhanced autofluorescence can be seen in the macular area and weak autofluorescence in the hemorrhagic area
figure04-13E,Late FFA image of central retinal vein occlusion in the right eye. Same patient as Figure 4-13D. Diffuse fluorescent leakage from the posterior pole can be seen
figure04-13F,Late image of FFA with central retinal vein occlusion in the left eye. Same patient as Figure 4-13E. Fluorescent leakage of the optic disk is visible
figure04-15B,"FFA 33 sec 57 image of central vein obstruction in the lower retinal hemisphere of the right eye. Same patient as Figure 4-15A. It shows extensive nonperfused area formation below, intraretinal microvascular abnormalities"
figure04-15D,"Figure 4-15C FFA 1 minute 24 seconds 84 image of patient's left eye. Dilatation of the venous wall, partial staining of the wall, and scattered tissue staining of the retina can be seen"
figure04-16B,"FFA 2 min 3 sec 4 image of central vein occlusion in the retinal hemisphere below the right eye. Same patient as Figure 4-16A. Shows dilatation of the lower vein, staining of the wall, and formation of an area of no perfusion"
figure04-19B,"No stark fundus image of branch retinal vein obstruction above the right eye. Clearly shows the extent of the hemorrhage, vein tortuosity"
figure04-19C,Branch retinal vein occlusion above right eye FFA 13 sec 1 image
figure04-19D,FFA of branch retinal vein obstruction above the right eye 1 min 16 sec 2 image. Same patient as Figure 4-19C. Extensive capillary occlusion and intraretinal microvascular abnormalities are seen
figure04-20B,No ruddy fundus image of the right eye with infratemporal branch vein obstruction. Same patient as Figure 4-20A. It is more clearly shown that the artery lies above the vein and compresses the vein
figure04-20C,"FFA fundus image of right eye with infratemporal branch vein obstruction. Same patient as Figure 4-20B. More clearly shows the artery on top of the vein, compressing the vein"
figure04-20D,FFA fundus image of right eye with infratemporal branch vein obstruction. Same patient as Figure 4-20C. It shows a large number of areas of nonperfusion
figure04-23B,FFA 13.2s image of left eye with central retinal artery obstruction combined with central vein obstruction. Same patient as Figure 4-23A
figure04-23C,FFA 26.ls image of left eye with central retinal artery obstruction combined with central vein obstruction. Same patient as Figure 4-23B. It can be seen that the retinal arteries are still not filling completely
figure04-24B,Figure 4-24A Autofluorescence imaging of the patient's fundus. Weak autofluorescence is seen in the retinal infarcted edema area
figure04-24C,Figure 4-24B Patient FFA 33 seconds 53 images
figure04-24D,Figure 4-24C Patient FFA2 min 27 sec 04 image
figure04-24F,Figure 4-24A Autofluorescence image of the fundus of the patient's left eye. No abnormalities are seen
figure04-24G,"Figure 4-24A 10-image of patient's left eye FFA at 16 minutes, 52 seconds. Extensive fluorescein leakage from the lower retinal vessels is seen"
figure04-24H,Figure 4-24A FFA 12 min 31 sec 20 image of the patient's left eye. Extensive fluorescein leakage from the nasal retinal vessels is seen
figure04-24J,"Figure 4-24A FFA image of the left eye in the same patient, 6 weeks before the onset of the right eye"
figure04-27B,"FFA image of peripapillary retinal veinitis in the right eye. The wall of the inferior temporal vein is seen to be stained, with no perfusion zone forming and hemorrhages obscuring the fluorescence"
figure04-28B,FFA image of peripapillary segmental retinal arteritis in the left eye. Obstructed filling of the artery below the nose and staining of part of the canal wall are seen
figure04-29CA,"Peripapillary segmental retinal arteritis FFA contrast 100 sec 32 image in the left eye. Same patient as Figure 4-29B. The distal retinal arteries are seen to be nonperfused, and the choroidal vasculature is not seen to be abnormal"
figure04-29CB,"ICGA contrast 100 sec 32 image of peripapillary segmental retinal arteritis in the left eye. Same patient as Figure 4-29B. The distal retinal artery is seen to be nonperfused, and the choroidal vasculature is not abnormal"
figure04-29DA,Segmental retinal artery periarteritis FFA contrast 741 sec 31 image of the right eye. Same patient as Figure 4-29A
figure04-29DB,Segmental retinal artery periarteritis ICGA contrast 741 sec 31 image of the right eye. Same patient as Figure 4-29A
figure04-29EA,Segmental retinal arteritis peripapillary in the right eye FFA contrast 15 min 14 sec 96 image. Same patient as Figure 4-29A
figure04-29EB,"ICGA angiography of segmental retinal arteriolar periarteritis in the right eye at 15 minutes, 14 seconds, 96 images. Same patient as Figure 4-29A"
figure04-32C,FFA 16:28:8 image of renal hypertensive fundopathy in the right eye. Same patient as Figure 4-32B
figure04-32D,Left eye renal hypertensive fundopathy FFA 19 min 17 sec 8 image. Same patient as Figure 4-32C
figure04-34B,"FFA 57.3s image of multiple aortitis in the right eye. Same patient as Figure 4-34A. Fluorescent leakage from the optic disc is seen, with extensive occlusion of retinal vessels, formation of large areas of no perfusion, retinal capillary dilatation, and numerous microtubule wall tumors"
figure04-41C,"Stage II diabetic retinopathy in the right eye FFA 15 min 49 sec 1 image. Figure 4-41A shows the same patient, with scattered microaneurysms of the retina visible and hemorrhages obscuring fluorescence"
figure04-41D,"Stage II diabetic retinopathy in the right eye FFA 16 min 40 sec image. In the same patient as Figure 4-41B, scattered microaneurysms of the retina with hemorrhages obscuring the fluorescence are seen"
figure04-43C,"Stage III diabetic retinopathy of the left eye FFA 1 minute 06 seconds image. In the same patient as Figure 4-43B, a microaneurysm is seen with scattered areas of nonperfusion and intratemporal retinal microvascular anomalies (IRMAs) in the superior temporal"
figure04-43D,"Stage III diabetic retinopathy in the left eye FFA 3 minute 1 second image. In the same patient as Figure 4-43C, large areas of no perfusion are seen"
figure04-43E,"Stage III diabetic retinopathy in the left eye FFA 10 min 03 sec 2 image. Same patient as Figure 4-43D, fluorescence leakage tissue staining is seen"
figure04-43F,"Diabetic retinopathy stage III FFA 24 sec 8 image of the right eye. In the same patient as Figure 4-43A, a microaneurysm is seen with scattered areas of nonperfusion, and retinal vein beading is evident above (Venus Beading)"
figure04-43G,"Stage III diabetic retinopathy in the right eye FFA 9 min 24 sec 6 image. In the same patient as Figure 4-43A, fluorescence leakage tissue staining is seen"
figure04-44C,"Stage III FFA venous phase image of diabetic retinopathy in the right eye. In the same patient as Figure 4-44A, retinal capillary dilatation is seen with hemorrhages obscuring fluorescence"
figure04-44D,"Late FFA image of stage III diabetic retinopathy in the left eye. In the same patient as Figure 4-44B, diffuse fluorescence leakage from the retina is seen, with hemorrhages obscuring fluorescence"
figure04-47,"FFA image of stage IV diabetic retinopathy in the left eye. Extensive areas of no perfusion in the upper retina, capillary dilatation, and fluorescent leakage of neovascularization are seen"
figure04-48,"FFA image of stage IV diabetic retinopathy in the left eye. A large amount of fluorescent leakage of retinal neovascularization is seen, with no perfusion zone formation and intraretinal microvascular abnormalities (IRMA)"
figure04-49C,"Diabetic retinopathy stage IV FFA 7:44:5 image of the right eye. Same patient as Figure 4-49A. Diffuse fluorescence leakage is seen, with hemorrhages obscuring the fluorescence"
figure04-49D,"Stage IV diabetic retinopathy in the left eye FFA 10 min 57 sec 4 image. Same patient as Figure 4-49B. Slight fluorescence leakage, microtubule wall tumor, and pre-retinal hemorrhage below the optic disc obscuring the fluorescence are seen"
figure04-51B,Phase V FFA 48 sec 6 image of diabetic retinopathy in the left eye. Same patient as Figure 4-51A. Visible leakage from the fibrovascular proliferative membrane of the optic disc is evident
figure04-58B,"FFA chart of Coats disease in the left eye. Same patient as Figure 4-58A. Diffuse dilatation of the retinal capillaries above the temporal plane is seen, and a cornified aneurysm is seen, with dense sclerotic exudates obscuring choroidal fluorescence"
figure04-73C,"FFA 744-second image of a systemic lupus erythematosus fundopathy in the right eye. In the same patient as Figure 4-73A, fluorescence leakage tissue staining is seen, and hemorrhage obscures fluorescence"
figure04-73D,"FFA 773 second image of a systemic lupus erythematosus fundopathy in the left eye. In the same patient as Figure 4-73B, fluorescence leakage tissue staining is seen, and hemorrhage obscures fluorescence"
figure04-74C,"FFA 401.8s image of systemic lupus erythematosus fundopathy in the right eye. Same patient as Figure 4-74A. A large number of retinal arterioles are seen to be occluded, with staining of the venous walls and fluorescent leakage from the optic disk"
figure04-74D,"FFA 382.4s image of systemic lupus erythematosus fundopathy in the left eye. Same patient as Figure 4-74B. A large number of retinal arterioles are seen to be occluded, with staining of the venous walls and fluorescent leakage from the optic disk"
figure04-74G,FFA 151.4s image of systemic lupus erythematosus fundopathy in the right eye. Seen 7 months after the initial diagnosis of the same patient in Figure 4-74A. Massive neovascularization of the optic disc surface is seen with significant fluorescence leakage. Extensive areas of nonperfusion form
figure04-74H,"FFA 22.0s image of systemic lupus erythematosus fundopathy in the left eye. Seen 7 months after the initial diagnosis of the same patient in Figure 4-74B. Massive neovascularization of the optic disc surface is seen, with extensive areas of nonperfusion forming"
figure05-37C,"Figure 5-37B Patient's right eye FFA742.8s image. Fluorescence leakage and tissue staining are still visible in the posterior pole, with fluorescence staining of the optic disc and scattered pigment obscuring the fluorescence"
figure05-37D,"Figure 5-37C Patient's left eye FFA 813.3s image. Fluorescence leakage and tissue staining are still visible in the posterior pole, with fluorescence staining of the optic disc and scattered pigment obscuring the fluorescence"
figure05-37E,Figure 5-37D Late FFA image of patient. The lower retinal bulge can be seen
figure06-01B,FFA 30 sec 2 image of central plasma choroidal retinopathy in the right eye. Same patient as Figure 6-1A. Two fluorescent leaks on the nasal side of the macular central plexus are visible
figure06-01C,"Right eye central plasma choroidal retinopathy FFA 16 min 22 sec 2 image. Same patient as Figure 6-1B. Ink-stain-like fluorescence leakage is seen, and lake-like fluorescence accumulates in the neuroretinal detachment area"
