Image_ID,en_caption
figure02-24,Retina with myelinated nerve fibers. Visible retinal feathered myelinated nerve fibers near the superior temporal vascular arch of the retina
figure02-26A,"Fundus color image of familial exudative vitreoretinopathy in both eyes. The posterior pole of the fundus shows no abnormality, and the image shows artifacts due to eyelashes"
figure02-26B,"Fundus color image of familial exudative vitreoretinopathy in both eyes. The posterior pole of the fundus shows no abnormality, and the image shows artifacts due to eyelashes"
figure02-27,"Perpetual primitive vitreous arteriolar hyperplasia. See Primitive vitreous hyperplasia, extending from the optic papilla into the vitreous cavity"
figure02-28,Fundus color image of permanent primitive vitreous hyperplasia in the left eye. Primitive vitreous artery hyperplasia is seen extending from the optic papilla into the vitreous cavity
figure02-29A,Fundus color image of permanent primitive vitreous hyperplasia in the left eye. Pre-optic disc tissue hyperplasia is seen and the optic disc is tilted
figure02-30A,"Color image of the fundus of the right eye with albinism. The entire fundus can be seen as a red reflection of blood due to the lack of pigmentation, and the choroidal vessels are clearly visible"
figure02-30B,Color image of the fundus of the left eye with albinism. Same patient as Figure 2-30A with similar fundus presentation
figure02-32A,Fundus color image of bilateral congenital retinal macular schwannoma in a 21-year-old male with visual acuity of 0.15 on the right and 0.12 on the left. color fundus images showed a foveal appearance of the macular area in both eyes.
figure02-32B,Fundus color image of bilateral congenital retinal macular schwannoma in a 21-year-old male with visual acuity of 0.15 on the right and 0.12 on the left. color fundus images showed a foveal appearance of the macular area in both eyes.
figure02-33A,Ciliary retinal arteries. The presence of ciliary retinal arteries is not easily distinguished on color fundus images
figure02-34A,"Abnormal retinal vascular alignment combined with macular ectasia. The retinal vessels in both eyes were seen to be pulled toward the temporal side, losing the normal structure of the vascular arch, and the macula was pulled toward the temporal side and displaced about 5 DD from the optic disc, which was also pulled toward the temporal side. The patient had a full-term normal delivery, no history of oxygen intake, and no abnormalities in the peripheral fundus."
figure02-34B,"Abnormal retinal vascular alignment combined with macular ectasia. The retinal vessels in both eyes were seen to be pulled toward the temporal side, losing the normal structure of the vascular arch, and the macula was pulled toward the temporal side and displaced about 5 DD from the optic disc, which was also pulled toward the temporal side. The patient had a full-term normal delivery, no history of oxygen intake, and no abnormalities in the peripheral fundus."
figure02-35A,Fundus color image of congenital retinal vascular tortuosity. The retinal arteries in both eyes are seen to be markedly distorted and have an abnormal course
figure02-35B,Fundus color image of congenital retinal vascular tortuosity. The retinal arteries in both eyes are seen to be markedly distorted and have an abnormal course
figure02-36A,"Fundus color image of choroidal hemorrhoid in the left eye. The color image shows the lesion to be deep and ill-defined, and does not show up in the fundus image without stark light"
figure02-37A,Fundus color image of a choroidal nevus in the right eye. A deep lesion near the upper vascular arch is visible
figure02-38A,"Congenital choroidal defect. The lower choroidal defect is seen to involve the optic papilla, with the defect area crossing just below the macula. The image on the right shows the complete absence of the choroid within the defect area, revealing a porcelain-white sclera that is bumpy and uneven"
figure02-38B,"Congenital choroidal defect. The lower choroidal defect is seen to involve the optic papilla, with the defect area crossing just below the macula. The image on the right shows the complete absence of the choroid within the defect area, revealing a porcelain-white sclera that is bumpy and uneven"
figure02-39,Congenital choroidal defect. The defect is located inferiorly and neither the optic papilla nor the macula is involved
figure02-40,Congenital choroidal defect involving the optic disk and macula
figure02-41A,"Fundus color image of congenital macular defect in both eyes. The macular area is seen to be defective, exposing the underlying sclera, and the surrounding pigmentation is disturbed"
figure02-41B,"Fundus color image of congenital macular defect in both eyes. The macular area is seen to be defective, exposing the underlying sclera, and the surrounding pigmentation is disturbed"
figure02-42,Fundus color image of congenital macular macrodefect in the right eye
figure03-01A,Funduscopic color image of retinitis pigmentosa in both eyes showing massive osteoblast-like pigmentation near the posterior pole vascular arch and depigmented macular changes
figure03-01B,Funduscopic color image of retinitis pigmentosa in both eyes showing massive osteoblast-like pigmentation near the posterior pole vascular arch and depigmented macular changes
figure03-02A,"Fundus color image of aphakic retinitis pigmentosa in both eyes, the patient had typical clinical manifestations of retinitis pigmentosa (night blindness since childhood, centripetal narrowing of the visual field). The retina around the vascular arches was seen to be greenish gray, and no osteoblast-like pigment was seen"
figure03-02B,"Fundus color image of aphakic retinitis pigmentosa in both eyes, the patient had typical clinical manifestations of retinitis pigmentosa (night blindness since childhood, centripetal narrowing of the visual field). The retina around the vascular arches was seen to be greenish gray, and no osteoblast-like pigment was seen"
figure03-03A,Fundus color image of crystalline retinitis pigmentosa in both eyes shows a greenish gray fundus with scattered pigmentation and a large number of scattered yellowish-white nodular particles at the posterior pole
figure03-03B,Fundus color image of crystalline retinitis pigmentosa in both eyes shows a greenish gray fundus with scattered pigmentation and a large number of scattered yellowish-white nodular particles at the posterior pole
figure03-04A,Fundus color image of crystalline retinitis pigmentosa in both eyes shows greenish gray fundus with extensive yellowish-white millet-like crystalline particles in the posterior pole and macular area
figure03-04B,Fundus color image of crystalline retinitis pigmentosa in both eyes shows greenish gray fundus with extensive yellowish-white millet-like crystalline particles in the posterior pole and macular area
figure03-05A,"Fundus color image of white dot retinitis pigmentosa in both eyes, showing extensive white dot lesions in the fundus, with no abnormality in the macular area"
figure03-05B,"Fundus color image of white dot retinitis pigmentosa in both eyes, showing extensive white dot lesions in the fundus, with no abnormality in the macular area"
figure03-06A,"Fundus color image of both eyes. The optic papillae were normal in color, and the pigmented lesions were distributed along the retinal veins, which were surrounded by brownish-black foci of retinal choroidal atrophy, with no macular involvement in either eye."
figure03-06B,"Fundus color image of both eyes. The optic papillae were normal in color, and the pigmented lesions were distributed along the retinal veins, which were surrounded by brownish-black foci of retinal choroidal atrophy, with no macular involvement in either eye."
figure03-08A,"Fundus color image of optic rod cone cell dystrophy in both eyes, as shown in Figs. 3-7 Patient's brother, 24 years old, found to have poor visual acuity in both eyes 9 years ago, with progressive progression, with night blindness, no color blindness, visual acuity of CF/30 cm in both eyes, nystagmus, and extinction of all waves of FERC in both eyes"
figure03-08B,"Fundus color image of optic rod cone cell dystrophy in both eyes, as shown in Figs. 3-7 Patient's brother, 24 years old, found to have poor visual acuity in both eyes 9 years ago, with progressive progression, with night blindness, no color blindness, visual acuity of CF/30 cm in both eyes, nystagmus, and extinction of all waves of FERC in both eyes"
figure03-09A,Fundus color image of optic cone cell dystrophy in both eyes. Slightly darker coloration of the macula in both eyes
figure03-09B,Fundus color image of optic cone cell dystrophy in both eyes. Slightly darker coloration of the macula in both eyes
figure03-10A,"Funduscopic color image of Stargardt's disease in both eyes, showing yellowish-white speckled foci below the macular central concavity in both eyes, male, 15 years old, with gradual loss of vision in both eyes for more than 10 years, and corrected visual acuity of 0.12-1 in the right eye and 0.15 in the left eye"
figure03-10B,"Funduscopic color image of Stargardt's disease in both eyes, showing yellowish-white speckled foci below the macular central concavity in both eyes, male, 15 years old, with gradual loss of vision in both eyes for more than 10 years, and corrected visual acuity of 0.12-1 in the right eye and 0.15 in the left eye"
figure03-11A,"Fundus color image of Stargardt's disease in the right eye. Atrophy of the retinal pigment epithelium in the macular region is seen, with extensive yellowish-white and grayish-yellow spots at the posterior pole"
figure03-11B,"Fundus color image of Stargardt's disease in the left eye. Atrophy of the retinal pigment epithelium in the macular region is seen, with extensive yellowish-white and grayish-yellow spots at the posterior pole"
figure03-12A,"Fundus color image of Stargardt's disease in the right eye. Atrophy of the retinal pigment epithelium in the macular region is seen, with extensive yellowish-white and grayish-yellow spots at the posterior pole"
figure03-12B,"Color image of the fundus of the left eye with Stargardt's disease. Same patient as Figure 3-12A. Atrophy of the retinal pigment epithelium in the macular region is seen, with extensive yellowish-white and grayish-yellow spots at the posterior pole"
figure03-13A,"Fundus color image of Stargardt's disease in the right eye. Atrophy of the retinal pigment epithelium in the macular region, disorganized pigmentation, and yellowish-white and grayish-yellow spots visible near the vascular arch"
figure03-13B,"Color image of the fundus of the left eye with Stargardt's disease. Same patient as Figure 3-13A. Atrophy of the retinal pigment epithelium in the macular region, disturbed pigmentation, and yellowish-white and grayish-yellow spots visible near the vascular arch"
figure03-14A,"Fundus color image of Stargardt's disease in the right eye. Atrophy of the retinal pigment epithelium in the macular region, disorganized pigmentation, and yellowish-white and grayish-yellow spots near the vascular arches are visible"
figure03-14B,"Fundus color image of Stargardt's disease in the left eye. In the same patient as figure 3-14A, retinal pigment epithelial atrophy in the macula is seen, pigment proliferation is disturbed, and yellowish-white and grayish-yellow spots are seen near the vascular arch"
figure03-15A,Fundus color image of Best's disease in the right eye. A yellowish-white ovoid lesion in the macular area is seen. Yellowish-white material is deposited downward
figure03-15B,"Color image of the fundus of the left eye with Best's disease. In the same patient as Figure 3-15A, a yellowish-white yolk-like lesion is seen in the macular area"
figure03-16A,Fundus color image of Best's disease in the right eye. A yellowish-white ovoid lesion in the macular area is seen. The patient is a 28-year-old male with visual acuity of 0.1 in the right eye and 0.8 in the left eye
figure03-16B,"Color image of the fundus of the left eye with Best's disease. In the same patient as Figure 3-16A, a yellowish-white yolk-like lesion is seen in the macular area"
figure03-17A,"Fundus color image of angioid streaks in the right eye. Several dark red deep angioid streaks are seen radiating around the optic disc, with retinal pigment epithelial atrophy and hyperpigmentation on the nasal side of the optic disc."
figure03-17B,"Fundus color image of vascular-like streaks in the left eye. Same patient as Figure 3-17A. Several dark red deep angioid streaks are seen radiating around the optic disc, and retinal pigment epithelial atrophy and hyperpigmentation can be seen on the nasal side of the optic disc."
figure03-18A,Fundus color image of angioid streaks in the fundus. Several dark red deep angioid streak-like lesions are seen radiating around the optic disk
figure03-18B,Fundus color image of angioid streaks in the fundus. Several dark red deep angioid streak-like lesions are seen radiating around the optic disk
figure03-19A,Fundus color image of parapapillary choroidal atrophy in the left eye. Peripapillary choroidal atrophy is seen in the peripapillary optic disk and macular area
figure03-20A,"Fundus color image of the right eye with aniridia. The fundus can be seen to be dark, with extensive choroidal atrophy, exposed choroidal macrovessels, and scattered osteoclast-like pigmentation"
figure03-20B,"Fundus color image of the left eye without choroidopathy. Same patient as Figure 3-20A. The fundus color is seen to be dull, with extensive choroidal atrophy, exposed choroidal macrovessels, and scattered osteoclast-like pigmentation"
figure03-21A,Fundus color image of central corona choroidal atrophy in the right eye. Patient is a 60-year-old male with visible choroidal atrophy in the macular area and exposed choroidal macrovessels
figure03-21B,Fundus color image of central corona choroidal atrophy in the left eye. Same patient as Figure 3-21A. The patient is a 60-year-old male with visible choroidal atrophy in the macular area and exposed choroidal macrovessels
figure03-22A,Fundus color image of primary choroidal atrophy in the right eye
figure03-22B,Fundus color image of primary choroidal atrophy in the left eye
figure03-23A,Fundus color image of primary band choroidal atrophy in the right eye. Choroidal atrophy at the infratemporal vascular arch and exposed large vessels are seen
figure03-23B,"Fundus color image of primary band choroidal atrophy combined with age-related macular degeneration in the left eye. Same patient as Figure 3-23A. Choroidal atrophy at the infratemporal vascular arch, choroidal neovascularization of the fibrous membrane in the macula, and macular hemorrhage are seen"
figure04-01A,Fundus color image of central retinal artery obstruction in the left eye. The macula is yellow with a cherry red appearance
figure04-01B,Figure 4-1A Fundus image of the patient's right eye. No abnormalities are seen
figure04-02,Fundus color image of central retinal artery obstruction in the left eye. Typical cherry red color in the macula
figure04-03,Fundus color image of the left eye with inferior hemianopic central artery obstruction. Infarcted edema of the inferior half of the retina is seen
figure04-04A,Fundus color image of branch retinal artery obstruction in the left eye. Infarcted retinal edema in the inferotemporal quadrant is seen
figure04-05A,"Fundus color image of right eye with infratemporal branch artery obstruction. Patient female, 43 years old, retinal vasculitis, visual acuity 0.08 in the right eye"
figure04-05C,"Figure 4-5B Fundus color image of patient 1 month after treatment. Subtemporal retinal edema is seen to be largely absorbed, with visual acuity of 1.0"
figure04-05E,"Figure 4-5D Patient's fundus color image reviewed 8 years later. Atrophy and thinning of the inferotemporal retina are seen, the infratemporal branch artery is essentially patent, and visual acuity is still 1.0"
figure04-05F,Figure 4-5E Patient's fundus color image reviewed 8 years later. Inflammatory vascular leakage of the retinal veins above the temporal plane is seen
figure04-06A,Fundus color image of the right eye on the first day after stent implantation. Multiple cholesterol thrombi are seen in the superior and inferior nasal arteries of the optic papilla
figure04-06B,"Fundus color image of the right eye more than 1 month after stent implantation. Two infarcts of small retinal arteries above the temporal plane (cotton-wool spots) were seen, and the small arteries below the nasal part of the optic papilla were occluded."
figure04-06C,Fundus color image of the right eye more than 1 month after stent implantation. Multiple cholesterol thrombi were seen in the temporal retinal artery
figure04-06D,Fundus color image of the right eye more than 1 month after stent implantation. Multiple cholesterol clots in the superior temporal branch retinal artery were visualized
figure04-07A,"Fundus color image of ophthalmic artery obstruction in the right eye. Diffuse retinal infarct edema is seen, and the macula is yellow due to severe ischemia"
figure04-08,Fundus color image of ciliary retinal artery occlusion in the left eye
figure04-09,Fundus color image of anterior small retinal capillary artery obstruction in the right eye
figure04-10A,"Fundus color image of central retinal vein obstruction in the right eye. The patient is a 45-year-old man with a history of hypertension for 8 years, hyperlipidemia for 7 years, and coronary artery disease for 5 years, and a visual acuity of 0.08 in the right eye."
figure04-10C,Figure 4-10B Color image of the fundus of patient's left eye. Multiple cotton-wool spots presenting as small pre-retinal capillary artery obstruction. Visual acuity in the left eye is 1.0
figure04-11,Fundus color image of incomplete obstruction of the central retinal vein in the left eye
figure04-13A,Fundus color image of central retinal vein obstruction in the right eye. Lateral branch formation of the optic disc ciliary vein above the optic disc is seen
figure04-13B,"Fundus color image of central retinal vein obstruction in the left eye. Same patient as Figure 4-13A. Tortuous dilated veins, scattered retinal hemorrhages, and anterior retinal membrane are seen"
figure04-14A,Fundus color image of non-ischemic central retinal vein occlusion in the left eye
figure04-14B,"Fundus color image of non-ischemic central retinal vein occlusion in the left eye, as shown in Figure 4-14A patient after 2 months of treatment"
figure04-15A,"Fundus color image of central vein obstruction in the lower retinal half of the right eye. Patient female, 40 years old, history of hypertension for 3 years"
figure04-15C,Figure 4-15B Image of patient's left eye. Visible venous dilatation with scattered cottony spots
figure04-16A,Funduscopic color image of central retinal hemianopic vein obstruction in the lower part of the right eye
figure04-17A,Funduscopic color image of retinal hemianopic central vein obstruction in the lower part of the left eye
figure04-17B,"Figure 4-17A Patient's right eye, no abnormalities seen"
figure04-18,"Fundus color image of the right eye with branch retinal vein obstruction above the temporal plane, showing extensive superficial retinal hemorrhagic cotton-wool spots."
figure04-19A,Fundus color image of branch retinal vein obstruction above the right eye
figure04-20A,Funduscopic color image of the right eye with obstruction of the infratemporal branch vein. Compression of the vein by the inferior temporal branch artery. Patient is a 63 year old female with a 5 year history of diabetes mellitus and a 2 year history of hypertension
figure04-21,Fundus color image of macular branch vein obstruction in the right eye
figure04-22A,Multi-branch retinal vein obstruction in the left eye
figure04-23A,"Fundus color image of central retinal artery obstruction combined with central vein obstruction in the left eye. It shows retinal infarct edema at the posterior pole, optic disc congestion and edema, dilated and tortuous veins, and scattered deep and superficial retinal hemorrhages"
figure04-24A,"Fundus color image of central retinal vein obstruction combined with ciliary retinal artery obstruction in the right eye. Tortuous retinal vein dilatation, scattered hemorrhages, and retinal infarct edema on the temporal side of the optic disc were seen."
figure04-24E,Figure 4-24A Image of the patient's left eye. Visible retinal vein dilatation
figure04-24I,"Figure 4-24A Color image of the fundus of the left eye in the same patient, 6 weeks before the onset of the right eye. It shows central retinal vein obstruction in the left eye"
figure04-24K,"Figure 4-24A color image of the fundus of the right eye of a patient after 3 months of folic acid and vitamin B12 treatment. Homocysteine decreased to 19.0 μmol/L, and visual acuity was 0.6 in both eyes"
figure04-24L,Figure 4-24A Color image of the fundus of the left eye of a patient 3 months after treatment
figure04-25,"Fundus color image of ocular ischemic syndrome in the right eye. Retinal vessels are seen to be thin, with scattered deep hemorrhages in the mid-peripheral retina. The patient has occlusion of the right carotid artery"
figure04-26A,Fundus color image of peripapillary retinal veinitis in the right eye. Posterior occlusion of inferotemporal and inferior retinal vein inflammation and extensive superficial retinal hemorrhage are seen
figure04-27A,"Fundus color image of peripapillary retinal veinitis in the right eye. Inflammatory exudation around the vessel wall, peripheral hemorrhage, and tortuous veins are seen"
figure04-28A,Fundus color image of peripapillary segmental retinal arteritis in the left eye. A yellowish-white dendritic appearance of the subnasal artery with a small amount of peripheral hemorrhage is seen
figure04-29A,Fundus color image of peripapillary segmental retinal arteritis in the right eye. Yellow self-colored bamboo-like appearance of the retinal arteries is seen
figure04-29B,"Fundus color image of peripapillary segmental retinal arteritis in the left eye. Same patient as Figure 4-29A. A yellowish-white, bamboo-like appearance of the retinal arteries is seen, with cottony spots"
figure04-30A,"Fundus color image of hypertensive atherosclerosis in the right eye. The retinal arteries are seen to be thin and silvery, with an A:V of about 1:3 to 1:4"
figure04-30B,"Fundus color image of hypertensive atherosclerosis in the left eye. Same patient as Figure 4-30A. The retinal arteries are thin and silvery, with an A:V of approximately 1:3 to 1:4."
figure04-31A,"Fundus color image of hypertensive fundopathy in the right eye. Retinal arterioles are seen to be thinned, with more sclerotic exudates, scattered hemorrhages, and absorbent cotton spots"
figure04-31B,"Fundus color image of hypertensive fundopathy in the left eye. Same patient as Figure 4-31A. Retinal arterioles are seen to be thinned, with more sclerotic exudates, scattered hemorrhages, absorbent cotton spots"
figure04-32A,"Fundus color image of renal hypertensive fundopathy in the right eye. Scattered retinal hemorrhages, cotton-fluff spots, hard exudates, and preretinal hemorrhages are seen"
figure04-32B,"Fundus color image of renal hypertensive fundopathy in the left eye. Same patient as Figure 4-32A. Scattered retinal hemorrhages, cotton-fluff spots, hard exudates, and preretinal hemorrhages are visible"
figure04-33A,Fundus color image of renal hypertensive fundopathy in the right eye.
figure04-33B,Fundus color image of renal hypertensive fundopathy in the left eye. Same patient as Figure 4-33A
figure04-34A,"Fundus color image of multiple aortitis in the right eye. The retinal vessels are seen to be heterogeneous in thickness and discontinuous in their course, with infarcted retinal edema at the posterior pole"
figure04-34C,Fundus color image of multiple aortitis in the left eye. Same patient as Figure 4-34A. Severe optic disc neovascularization with surface vitreous hemorrhage is seen
figure04-35A,"Fundus color image of leukemic fundopathy in the right eye. A large number of preretinal hemorrhages are seen, as well as superficial retinal hemorrhages with white centers (Roth spots)"
figure04-35B,"Fundus color image of leukemic fundopathy in the left eye. Same patient as Figure 4-35A. A large number of preretinal hemorrhages are seen, as well as superficial retinal hemorrhages with white centers (Roth spots)"
figure04-36A,Color image of the fundus of the right eye with thrombocytopenic purpura. Massive new and old hemorrhages on and around the surface of the optic disk are seen
figure04-36B,Color image of the fundus of the left eye with thrombocytopenic purpura. Same patient as Figure 4-36A. Massive new and old hemorrhages on and around the surface of the optic disc are seen
figure04-37A,Fundus color image of aplastic anemia in the right eye. Massive new and old hemorrhages in the posterior pole are seen
figure04-37B,Fundus color image of aplastic anemia in the left eye. Same patient as Figure 4-37A. A large number of old and new hemorrhages in the posterior pole can be seen
figure04-38,Fundus color image of multiple myeloma in the right eye
figure04-39,Fundus color image of stage I diabetic retinopathy in the right eye. Scattered retinal punctate hemorrhages are seen
figure04-40,Fundus color image of diabetic retinopathy stage II in the right eye. Multiple hard retinal exudates with scattered hemorrhages are seen
figure04-41A,"Fundus color image of diabetic retinopathy stage II in the right eye. Scattered hard retinal exudates and hemorrhages can be seen, and this patient also had a combination of macular anterior membrane"
figure04-41B,"Fundus color image of stage II diabetic retinopathy in the left eye. In the same patient as Figure 4-41A, scattered hard retinal exudates and hemorrhages are seen"
figure04-42,"Fundus color image of stage III diabetic retinopathy in the right eye. Scattered retinal hemorrhages, hard exudates, and absorbent cotton spots are seen"
figure04-43A,"Fundus color image of stage III diabetic retinopathy in the right eye. Scattered retinal hemorrhages, hard exudates, and absorbent cotton spots are seen"
figure04-43B,"Fundus color image of stage III diabetic retinopathy in the left eye. In the same patient as Figure 4-43A, scattered retinal hemorrhages, hard exudates, and absorbent cotton spots are seen"
figure04-44A,Fundus color image of stage III diabetic retinopathy in the right eye. A large amount of hard exudate and multiple retinal cotton-chip spots are seen
figure04-44B,"Fundus color image of stage III diabetic retinopathy in the left eye. In the same patient as Figure 4-44A, a large amount of hard exudate is seen with multiple retinal cotton-chip spots"
figure04-45,Fundus color image of stage IV diabetic retinopathy in the right eye. Pre-retinal hemorrhage and cotton-wool spots are seen
figure04-46,Fundus color image of stage IV diabetic retinopathy in the right eye. Extensive preretinal hemorrhage with vitreous hemorrhage is seen
figure04-49A,"Fundus color image of stage IV diabetic retinopathy in the right eye. Sclerotic exudates are seen, vitreous humor is present, and incomplete posterior vitreous detachment is seen above"
figure04-49B,Fundus color image of stage IV diabetic retinopathy in the left eye. Same patient as Figure 4-49A. Anterior retinal hemorrhage can be seen below
figure04-50,Fundus color image of stage V diabetic retinopathy in the right eye. Peripapillary fibrovascular proliferative membrane of the optic disc is seen
figure04-51A,Fundus color image of stage V diabetic retinopathy in the left eye. Visible fibrovascular proliferative membrane of the optic disc
figure04-52,"Fundus color image of stage VI diabetic retinopathy in the right eye. Fibrovascular proliferative membrane in front of the optic disc is seen, pulling the periphery to form a retinal detachment, with extensive occlusion of blood vessels in the form of a white line"
figure04-53,Fundus color image of stage VI diabetic retinopathy in the left eye. Extensive fibrovascular proliferative membrane-drawn retinal detachment at the posterior pole is seen
figure04-54,Fundus color image of stage VI diabetic retinopathy in the right eye. Extensive fibrovascular proliferative membrane-drawn retinal detachment at the posterior pole is seen
figure04-55,Fundus color image after extensive retinal photocoagulation in diabetic retinopathy
figure04-60,"Fundus color image of retinopathy of prematurity in the right eye. The child is a male, born at 32 weeks gestation, birth weight 1800g, stage 5 lesion, which is seen as extensive hard retinal exudates with total retinal detachment"
figure04-61A,"Fundus color image of the right eye with retinopathy of prematurity. The child is male, born at 29 weeks gestational age, birth weight 1200 g, stage 4a lesion, temporal peripheral retinal detachment without macular involvement"
figure04-61B,"Fundus color image of retinopathy of prematurity in the left eye. Same patient as Figure 4-61A, stage 4b lesion. Retinal detachment, proliferation, and involvement of the macula"
figure04-62A,Fundus color image of the right eye with retinopathy of prematurity. A male child born at 28 weeks gestational age with a birth weight of 1400 g. Stage 5 lesion with total retinal detachment.
figure04-62B,"Fundus color image of retinopathy of prematurity in the left eye. Same patient as Figure 4-62A, stage 4b lesion with visible retinal detachment involving the macula"
figure04-63,"Fundus color image of retinopathy of prematurity in the left eye. The child is a male, born at 31 weeks' gestation, with a birth weight of 1,650 g. A stage 3 lesion in zone II is seen as a pink cristate elevation"
figure04-64,"Fundus color image of retinopathy of prematurity in the left eye. The child is a male, born at 25 weeks' gestation, with a birth weight of 850 g. Stage 1 lesion in zone II is seen as a white, flat demarcation line between the vascularized and avascular areas of the temporal side of the retina"
figure04-65,"Fundus color image of retinopathy of prematurity in the left eye. The child is male, born at 34 weeks gestational age, birth weight 3000 g. Acute posterior retinopathy of prematurity."
figure04-66,"Fundus color image of the right eye with retinopathy of prematurity. Child female, born at 29 weeks gestational age, birth weight 1050 g, stage 5 lesion, total retinal detachment"
figure04-67,"Fundus color image of retinopathy of prematurity in the left eye. The child is a male, born at 32 weeks gestational age, birth weight 2000 g, stage 4a lesion with peripheral retinal detachment without macular involvement."
figure04-68,"Fundus color image of retinopathy of prematurity in the left eye. The child is a male, born at 26 weeks gestational week, birth weight 1650g, with an additional lesion in zone II, stage 2, which is seen as a white demarcation line forming a wow-shaped bulge, with angry and tortuous blood vessels"
figure04-69,"Fundus color image of retinopathy of prematurity in the right eye. The child is a male, born at 29 weeks' gestation, with a birth weight of 1,350 g. Stage 1 lesion in zone II is seen as a white, flat demarcation line between the vascularized and avascular areas of the retina on the temporal side of the retina"
figure04-70,"Fundus color image of retinopathy of prematurity in the left eye. The child is a male, born at 30 weeks gestational age, birth weight 1450 g, stage 4b lesion with limited retinal detachment involving the macula"
figure04-71,"Fundus color image of retinopathy of prematurity in the right eye. A female, born at 31 weeks' gestation, with a birth weight of 1200 g. Stage III, stage 1 lesion, with a white, flat demarcation line between vascularized and avascular areas in the temporal periphery of the retina."
figure04-72A,"Fundus color image of retinopathy of prematurity in the right eye. Female, born at 28 weeks' gestation, birth weight 1300 g, stage 3 lesion in zone I, with a pink cristate-shaped elevation at the demarcation line on the nasal side of the retina"
